room,instance_state,instance_count
iad26.1,Provisioning,5
iad26.1,Running,28799
iad26.1,Starting,2
iad26.1,Stopped,1967
iad26.1,Stopping,3
iad26.1,Terminated,74231
iad26.1,Terminating,12
iad26.2,Running,238
iad26.2,Stopped,6
iad26.2,Stopping,4
iad26.2,Terminated,54
iad26.3,Disabled,98
iad26.3,Provisioning,2
iad26.3,Running,10997
iad26.3,Starting,1
iad26.3,Stopped,665
iad26.3,Terminated,21932
iad26.3,Terminating,2
iad27.2,Disabled,19
iad27.2,Running,5487
iad27.2,Stopped,398
iad27.2,Terminated,9952
iad27.2,Terminating,2
iad27.3,Disabled,48
iad27.3,Running,5257
iad27.3,Stopped,548
iad27.3,Terminated,12937
iad27.3,Terminating,1
iad27.4,Disabled,8
iad27.4,Running,2130
iad27.4,Snapshotting,1
iad27.4,Stopped,211
iad27.4,Terminated,5849
iad28.1,Running,5067
iad28.1,Starting,2
iad28.1,Stopped,5
iad28.1,Stopping,3
iad28.1,Terminated,18
iad29.1,Disabled,175
iad29.1,Provisioning,13
iad29.1,Running,24263
iad29.1,Starting,6
iad29.1,Stopped,1419
iad29.1,Stopping,1
iad29.1,Terminated,66788
iad29.1,Terminating,20
iad3.1,Disabled,647
iad3.1,Moving,1
iad3.1,Provisioning,8
iad3.1,Running,80730
iad3.1,Starting,2
iad3.1,Stopped,11750
iad3.1,Stopping,2
iad3.1,Terminated,148879
iad3.1,Terminating,15
iad30.1,Disabled,23
iad30.1,Running,4764
iad30.1,Stopped,264
iad30.1,Terminated,7813
iad30.1,Terminating,1
iad30.2,Disabled,8
iad30.2,Provisioning,2
iad30.2,Running,10424
iad30.2,Stopped,358
iad30.2,Stopping,2
iad30.2,Terminated,32986
iad30.2,Terminating,3
iad30.3,Disabled,28
iad30.3,Running,3193
iad30.3,Stopped,132
iad30.3,Terminated,7566
iad30.4,Disabled,18
iad30.4,Running,8422
iad30.4,Stopped,194
iad30.4,Stopping,2
iad30.4,Terminated,25681
iad30.4,Terminating,1
iad31.10,Running,62
iad31.11,Running,317
iad31.11,Terminated,6
iad31.15,Running,905
iad31.15,Starting,1
iad31.15,Stopped,11
iad31.15,Terminated,31
iad31.2,Running,503
iad31.2,Terminated,17
iad31.3,Running,2969
iad31.3,Starting,1
iad31.3,Stopped,18
iad31.3,Stopping,9
iad31.3,Terminated,62
iad31.4,Running,2713
iad31.4,Stopped,15
iad31.4,Stopping,2
iad31.4,Terminated,50
iad31.5,Running,3527
iad31.5,Starting,2
iad31.5,Stopped,39
iad31.5,Stopping,3
iad31.5,Terminated,90
iad31.6,Running,460
iad31.6,Stopped,1
iad31.6,Terminated,4
iad31.7,Running,1773
iad31.7,Stopped,6
iad31.7,Terminated,6
iad31.8,Running,5556
iad31.8,Starting,2
iad31.8,Stopped,28
iad31.8,Stopping,1
iad31.8,Terminated,1
iad31.9,Running,4132
iad31.9,Starting,1
iad31.9,Stopped,27
iad31.9,Terminated,4
iad32.1,Running,680
iad32.1,Stopping,1
iad32.1,Terminated,69
iad32.2,Disabled,32
iad32.2,Provisioning,1
iad32.2,Running,8806
iad32.2,Stopped,254
iad32.2,Stopping,1
iad32.2,Terminated,29735
iad32.2,Terminating,4
iad32.3,Disabled,22
iad32.3,Provisioning,3
iad32.3,Running,14817
iad32.3,Starting,1
iad32.3,Stopped,789
iad32.3,Stopping,2
iad32.3,Terminated,36957
iad32.3,Terminating,7
iad32.6,Running,1428
iad32.6,Stopped,17
iad32.6,Terminated,880
iad32.6,Terminating,1
iad32.7,Running,458
iad32.7,Terminated,39
iad33.1,Disabled,21
iad33.1,Running,4578
iad33.1,Stopped,361
iad33.1,Terminated,7641
iad33.1,Terminating,2
iad34.1,Running,324
iad34.1,Starting,2
iad34.1,Stopped,5
iad34.1,Stopping,1
iad34.3,Running,999
iad34.3,Stopped,7
iad34.3,Stopping,1
iad34.3,Terminated,8
iad34.4,Running,1090
iad34.4,Stopped,4
iad34.4,Terminated,4
iad34.5,Running,777
iad34.5,Stopping,1
iad34.5,Terminated,3
iad34.6,Running,183
iad34.6,Stopped,4
iad34.6,Stopping,1
iad34.6,Terminated,1
iad34.7,Running,206
iad34.9,Running,558
iad34.9,Stopped,1
iad34.9,Stopping,1
iad34.9,Terminated,1
iad40.1,Disabled,45
iad40.1,Provisioning,3
iad40.1,Running,8622
iad40.1,Stopped,679
iad40.1,Terminated,22681
iad40.1,Terminating,6
iad41.1,Running,1273
iad41.1,Stopped,1
iad41.1,Terminated,14
iad42.1,Running,5376
iad42.1,Starting,2
iad42.1,Stopped,11
iad42.1,Terminated,38
iad42.2,Running,4980
iad42.2,Starting,6
iad42.2,Stopped,3
iad42.2,Stopping,17
iad42.2,Terminated,86
iad44.1,Running,1653
iad44.1,Stopped,2
iad44.1,Terminated,5
iad44.2,Running,297
iad44.3,Running,1372
iad44.3,Stopped,1
iad44.3,Terminated,8
iad44.4,Running,139
iad44.4,Terminated,8
iad45.1,Running,334
iad45.1,Stopped,1
iad45.1,Terminated,6
iad45.2,Running,885
iad45.2,Stopped,1
iad45.2,Terminated,20
iad45.3,Running,837
iad45.3,Stopped,1
iad45.3,Terminated,13
iad45.4,Running,819
iad45.4,Stopped,1
iad45.4,Stopping,1
iad45.4,Terminated,2
iad46.1,Running,1617
iad46.1,Stopped,2
iad46.1,Terminated,11
iad46.2,Running,6544
iad46.2,Starting,3
iad46.2,Stopped,17
iad46.2,Stopping,3
iad46.2,Terminated,481
iad48.1,Running,4195
iad48.1,Starting,1
iad48.1,Stopping,8
iad48.2,Running,4934
iad48.2,Starting,2
iad48.2,Stopped,1
iad48.2,Stopping,12
iad48.2,Terminated,1
iad48.3,Running,2933
iad48.3,Starting,1
iad48.3,Terminated,2
iad48.4,Running,105
iad49.1,Running,2255
iad49.1,Starting,1
iad49.1,Stopping,2
iad49.2,Running,1317
iad49.2,Starting,1
iad49.2,Stopping,1
iad49.2,Terminated,12
iad49.3,Running,3301
iad49.3,Stopping,1
iad49.3,Terminated,6
iad50.1,Running,3689
iad50.1,Starting,1
iad50.1,Stopping,1
iad50.2,Running,6309
iad50.2,Starting,7
iad50.2,Stopped,1
iad50.2,Stopping,3
iad50.2,Terminated,9
iad52.1,Running,40
iad53.1,Running,33
iad53.1,Stopped,1
iad53.1,Terminated,3
iad6.1,Disabled,146
iad6.1,Provisioning,8
iad6.1,Running,23051
iad6.1,Starting,4
iad6.1,Stopped,1395
iad6.1,Stopping,5
iad6.1,Terminated,53802
iad6.1,Terminating,7
iad6.2,Disabled,17
iad6.2,Running,1337
iad6.2,Stopped,187
iad6.2,Terminated,1619
iad6.3,Disabled,135
iad6.3,Provisioning,12
iad6.3,Running,24293
iad6.3,Starting,1
iad6.3,Stopped,1204
iad6.3,Terminated,84709
iad6.3,Terminating,26
iad60.1,Disabled,71
iad60.1,Provisioning,5
iad60.1,Running,20019
iad60.1,Starting,1
iad60.1,Stopped,816
iad60.1,Terminated,82404
iad60.1,Terminating,5
iad61.2,Running,10450
iad61.2,Starting,11
iad61.2,Stopped,112
iad61.2,Stopping,2
iad61.2,Terminated,11
iad61.3,Running,8923
iad61.3,Starting,2
iad61.3,Stopped,32
iad61.3,Stopping,1
iad61.3,Terminated,4
iad61.4,Running,653
iad61.4,Stopped,9
iad61.5,Running,4339
iad61.5,Starting,1
iad61.5,Stopped,47
iad61.5,Stopping,3
iad61.5,Terminated,3
iad61.6,Running,3528
iad61.6,Starting,1
iad61.6,Stopped,32
iad61.6,Stopping,3
iad61.6,Terminated,1
iad61.6,Terminating,2
iad61.7,Running,7371
iad61.7,Starting,8
iad61.7,Stopped,22
iad61.7,Terminated,11
iad62.1,Disabled,1
iad62.1,Running,33
iad63.1,Running,1108
iad63.1,Stopped,1
iad63.1,Terminated,53
iad63.2,Running,754
iad63.2,Terminated,97
iad63.3,Running,844
iad63.3,Stopped,1
iad63.3,Stopping,2
iad63.3,Terminated,83
iad64.1,Running,6087
iad64.1,Starting,2
iad64.1,Stopped,129
iad64.1,Stopping,4
iad64.1,Terminated,8
iad64.2,Running,7449
iad64.2,Starting,8
iad64.2,Stopped,73
iad64.2,Stopping,3
iad64.2,Terminated,8
iad64.2,Terminating,3
iad64.3,Running,1527
iad64.3,Stopped,2
iad64.3,Terminated,6
iad64.4,Running,2386
iad64.4,Terminated,388
iad68.1,Running,14161
iad68.1,Starting,5
iad68.1,Stopped,3
iad68.1,Stopping,1
iad68.1,Terminated,3
iad68.2,Running,6328
iad68.2,Starting,10
iad68.2,Stopping,1
iad68.2,Terminated,5
iad68.3,Running,5604
iad68.3,Starting,1
iad68.3,Stopped,3
iad68.3,Terminated,5
iad68.4,Running,8819
iad68.4,Starting,5
iad68.4,Stopped,3
iad68.4,Terminated,7
iad69.1,Running,31
iad69.1,Stopped,2
iad7.1,Disabled,397
iad7.1,Provisioning,3
iad7.1,Running,36604
iad7.1,Starting,2
iad7.1,Stopped,3561
iad7.1,Stopping,1
iad7.1,Terminated,39011
iad7.1,Terminating,8
iad70.2,Running,9
iad70.2,Terminated,1
iad72.2,Running,27
iad77.1,Running,4664
iad77.1,Starting,5
iad77.1,Stopping,1
iad77.1,Terminated,4
iad77.2,Running,5438
iad77.2,Starting,1
iad77.2,Stopped,1
iad77.2,Stopping,8
iad77.3,Running,3846
iad77.3,Starting,1
iad77.3,Terminated,1
iad78.1,Disabled,27
iad78.1,Provisioning,2
iad78.1,Running,8329
iad78.1,Stopped,202
iad78.1,Terminated,22318
iad78.1,Terminating,9
iad78.2,Disabled,20
iad78.2,Provisioning,1
iad78.2,Running,2356
iad78.2,Stopped,62
iad78.2,Stopping,1
iad78.2,Terminated,3393
iad78.2,Terminating,3
iad8.1,Disabled,427
iad8.1,Running,48714
iad8.1,Starting,2
iad8.1,Stopped,7007
iad8.1,Stopping,1
iad8.1,Terminated,32375
iad8.1,Terminating,1
iad8.2,Disabled,353
iad8.2,Running,35187
iad8.2,Starting,5
iad8.2,Stopped,4369
iad8.2,Terminated,61020
iad8.2,Terminating,7
iad8.3,Disabled,299
iad8.3,Provisioning,1
iad8.3,Running,22281
iad8.3,Starting,6
iad8.3,Stopped,3347
iad8.3,Stopping,3
iad8.3,Terminated,41084
iad8.3,Terminating,1
iad84.1,Running,2955
iad84.1,Starting,1
iad84.1,Stopped,17
iad84.1,Stopping,1
iad84.1,Terminated,12
iad84.2,Running,4594
iad84.2,Starting,3
iad84.2,Stopped,15
iad84.2,Terminated,8
iad84.3,Running,2813
iad84.3,Stopped,7
iad84.3,Terminated,13
iad85.1,Running,19
iad85.1,Terminated,1
iad9.1,Disabled,20
iad9.1,Running,5319
iad9.1,Starting,1
iad9.1,Stopped,402
iad9.1,Terminated,4164
iad9.1,Terminating,1
iad9.2,Disabled,88
iad9.2,Provisioning,5
iad9.2,Running,11661
iad9.2,Stopped,1157
iad9.2,Terminated,53138
iad9.2,Terminating,7
iad9.3,Disabled,49
iad9.3,Provisioning,2
iad9.3,Running,5886
iad9.3,Starting,1
iad9.3,Stopped,702
iad9.3,Terminated,18146
iad9.3,Terminating,2
ord15.1,Stopped,4
ord16.1,Stopped,15
ord16.1,Terminated,2
ord5.2,Disabled,4
ord5.2,Stopped,17
ord6.4,Stopped,8
ord7.5,Stopped,1
phx13.1,Disabled,2
phx13.1,Stopped,23
phx6.8,Stopped,2
yyz1.1,Stopped,3
